date,open,high,low,close,volume
2025-05-12,3866.5305,3890.7342,3859.0346,3890.6096,15333246000
2025-05-13,3915.5924,3915.5924,3890.6855,3896.2583,14732029900
2025-05-14,3894.8386,3960.5228,3890.6504,3943.2108,17203377900
2025-05-15,3934.0273,3936.4653,3904.9068,3907.1992,13808174900
2025-05-16,3898.6662,3903.8528,3874.8619,3889.0854,11840534500
2025-05-19,3882.5677,3885.5889,3866.5695,3877.1453,9864341400
2025-05-20,3883.1024,3911.4737,3881.7436,3898.1705,10488523400
2025-05-21,3899.4365,3928.6339,3899.4365,3916.3807,10979134300
2025-05-22,3912.6007,3923.0195,3903.0898,3913.8651,10759705200
2025-05-23,3910.3739,3931.5514,3882.2741,3882.2741,12027741900
2025-05-26,3875.7891,3884.5370,3849.0384,3860.1067,10960120700
2025-05-27,3857.6271,3865.4291,3834.8455,3839.3969,9857242500
2025-05-28,3843.0747,3849.7360,3833.9582,3836.2366,8903102600
2025-05-29,3838.0092,3869.7909,3831.4577,3858.6998,10847188600
2025-05-30,3850.4930,3858.6128,3829.2542,3840.2323,11167222800
2025-06-03,3833.4584,3863.2952,3832.7202,3852.0127,13140309000
2025-06-04,3855.4878,3875.8569,3855.4878,3868.7429,11680387300
2025-06-05,3872.6373,3883.1345,3861.2720,3877.5557,12287818400
2025-06-06,3878.1027,3889.4557,3869.3871,3873.9841,11098797100
2025-06-09,3877.7977,3894.6517,3871.9917,3885.2459,13630629300
2025-06-10,3887.5512,3897.4573,3850.4663,3865.4652,14556385900
2025-06-11,3870.6719,3911.6107,3870.6719,3894.6252,14241477200
2025-06-12,3885.5196,3900.0408,3870.3838,3892.1992,13399869700
